(001, 325.5, N/A)
(002, 326.0, N/A)
(003, 328.0, N/A)
(004, 327.5, N/A)
(005, 331.5, N/A)
(006, 326.5, N/A)
(007, 325.5, N/A)
(008, 332.5, N/A)
(009, 350.5, N/A)
(010, 353.0, N/A)
(011, 323.5, 331.099)
(012, 308.0, 325.916)
(013, 308.0, 327.73)
(014, 326.5, 332.063)
(015, 348.5, 330.867)
(016, 348.0, 331.171)
(017, 326.5, 331.481)
(018, 317.5, 326.451)
(019, 327.0, 322.791)
(020, 339.0, 326.919)
(021, 338.5, 328.731)
(022, 326.5, 331.956)
(023, 317.5, 329.191)
(024, 323.0, 329.46)
(025, 341.0, 326.914)
(026, 340.0, 329.359)
(027, 329.5, 326.619)
(028, 324.0, 329.021)
(029, 330.0, 324.232)
(030, 340.5, 326.573)
(031, 334.0, 327.97)
(032, 327.0, 330.784)
(033, 328.0, 324.559)
(034, 338.5, 325.804)
(035, 334.5, 327.738)
(036, 331.0, 326.021)
(037, 322.0, 330.441)
(038, 321.5, 329.908)
(039, 336.5, 326.122)
(040, 349.5, 328.649)
(041, 340.0, 328.42)
(042, 320.5, 329.543)
(043, 314.5, 327.214)
(044, 323.5, 329.715)
(045, 339.0, 328.116)
(046, 340.5, 329.797)
(047, 331.0, 327.135)
(048, 323.5, 329.247)
(049, 323.5, 329.111)
(050, 332.5, 325.691)
(051, 337.0, 327.702)
(052, 327.0, 332.599)
(053, 327.5, 324.76)
(054, 328.0, 330.726)
(055, 336.5, 326.121)
(056, 337.5, 327.283)
(057, 328.0, 331.588)
(058, 326.0, 329.623)
(059, 328.5, 325.189)
(060, 334.0, 326.532)
(061, 332.0, 327.308)
(062, 326.0, 331.397)
(063, 327.5, 330.358)
(064, 327.0, 331.287)
(065, 334.0, 326.277)
(066, 332.5, 327.171)
(067, 327.5, 331.306)
(068, 325.5, 330.295)
(069, 327.5, 330.706)
(070, 331.0, 326.408)
(071, 329.0, 332.143)
(072, 327.0, 331.271)
(073, 326.5, 330.886)
(074, 334.5, 325.832)
(075, 337.5, 327.029)
(076, 337.5, 326.458)
(077, 332.0, 325.514)
(078, 325.5, 329.833)
(079, 333.0, 324.643)
(080, 334.0, 326.973)
(081, 334.0, 326.867)
(082, 328.5, 331.539)
(083, 325.0, 330.524)
(084, 329.0, 325.516)
(085, 329.5, 326.856)
(086, 327.0, 332.003)
(087, 327.0, 331.273)
(088, 326.0, 331.316)
(089, 325.5, 331.29)
(090, 327.0, 331.362)
(091, 327.5, 331.625)
(092, 325.5, 331.465)
(093, 326.5, 331.01)
(094, 328.0, 331.288)
(095, 334.5, 326.17)
(096, 328.5, 332.022)
(097, 324.5, 330.34)
(098, 326.0, 330.157)
(099, 327.0, 331.268)
(100, 333.5, 326.447)
(101, 328.5, 332.371)
(102, 325.5, 330.738)
(103, 326.0, 330.443)
(104, 326.0, 331.158)
(105, 325.5, 331.486)
(106, 326.0, 331.454)
(107, 325.5, 331.493)
(108, 326.5, 331.331)
(109, 329.5, 326.164)
(110, 329.0, 331.644)
(111, 324.5, 331.073)
(112, 325.5, 330.376)
(113, 327.5, 331.104)
(114, 333.0, 326.357)
(115, 329.0, 332.103)
(116, 324.5, 330.702)
(117, 325.0, 330.206)
(118, 328.5, 325.854)
(119, 333.0, 326.681)
(120, 328.0, 332.136)
(121, 325.5, 330.604)
(122, 325.5, 330.488)
(123, 329.5, 325.896)
(124, 333.5, 326.701)
(125, 328.5, 332.023)
(126, 326.5, 330.542)
(127, 328.0, 325.305)
(128, 326.0, 331.331)
(129, 328.0, 331.255)
(130, 327.0, 331.667)
(131, 328.0, 331.375)
(132, 330.5, 326.17)
(133, 325.5, 331.581)
(134, 326.0, 330.591)
(135, 324.5, 331.053)
(136, 326.5, 331.19)
(137, 326.5, 331.689)
(138, 327.5, 331.512)
(139, 327.5, 331.428)
(140, 324.5, 331.174)
(141, 326.5, 330.738)
(142, 329.0, 326.101)
(143, 325.0, 331.633)
(144, 324.0, 330.759)
(145, 326.5, 330.92)
(146, 333.5, 326.317)
(147, 332.5, 327.007)
(148, 324.5, 331.076)
(149, 323.5, 329.658)
(150, 325.5, 330.574)
