(001,459.5)
(002,458.5)
(003,460.0)
(004,461.5)
(005,463.0)
(006,460.0)
(007,459.0)
(008,455.0)
(009,454.5)
(010,459.0)
(011,466.5)
(012,470.5)
(013,458.5)
(014,453.0)
(015,447.5)
(016,455.0)
(017,467.5)
(018,470.5)
(019,462.0)
(020,453.5)
(021,451.5)
(022,457.5)
(023,463.5)
(024,467.5)
(025,463.0)
(026,452.5)
(027,454.0)
(028,456.5)
(029,458.5)
(030,461.0)
(031,464.0)
(032,466.0)
(033,461.5)
(034,456.5)
(035,455.5)
(036,458.0)
(037,461.5)
(038,464.0)
(039,463.0)
(040,460.5)
(041,457.0)
(042,458.5)
(043,460.5)
(044,461.5)
(045,459.0)
(046,456.5)
(047,456.0)
(048,457.5)
(049,462.0)
(050,462.0)
(051,461.0)
(052,458.0)
(053,455.5)
(054,459.0)
(055,461.5)
(056,462.5)
(057,460.5)
(058,454.5)
(059,453.0)
(060,459.0)
(061,463.0)
(062,464.5)
(063,460.5)
(064,457.0)
(065,455.0)
(066,457.5)
(067,461.0)
(068,463.5)
(069,460.5)
(070,457.5)
(071,454.5)
(072,456.0)
(073,461.5)
(074,466.5)
(075,463.5)
(076,457.0)
(077,453.0)
(078,454.5)
(079,462.0)
(080,468.0)
(081,464.5)
(082,458.5)
(083,454.0)
(084,454.5)
(085,460.0)
(086,463.5)
(087,463.0)
(088,460.0)
(089,457.0)
(090,458.0)
(091,460.5)
(092,461.5)
(093,460.5)
(094,459.0)
(095,459.5)
(096,460.5)
(097,461.0)
(098,457.5)
(099,456.0)
(100,456.5)
(101,459.5)
(102,464.0)
(103,463.5)
(104,460.5)
(105,456.0)
(106,455.5)
(107,458.0)
(108,462.0)
(109,463.5)
(110,461.0)
(111,457.5)
(112,454.0)
(113,455.0)
(114,459.5)
(115,466.0)
(116,464.0)
(117,458.5)
(118,454.5)
(119,454.5)
(120,458.5)
(121,462.0)
(122,465.0)
(123,460.5)
(124,457.5)
(125,454.5)
(126,456.0)
(127,460.5)
(128,463.5)
(129,463.0)
(130,460.0)
(131,456.5)
(132,455.0)
(133,458.0)
(134,460.5)
(135,461.5)
(136,461.0)
(137,456.5)
(138,457.0)
(139,459.5)
(140,462.5)
(141,461.0)
(142,458.5)
(143,457.0)
(144,459.0)
(145,460.0)
(146,461.5)
(147,461.0)
(148,459.5)
(149,459.0)
(150,458.0)
