epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,282.626,1.51631,1.19222,1.25457,0.74107,0.76093,0.79977,0.28728,2.01641,1.30007,1.47384,0.0017294,0.0017294,0.0017294
43,289.273,1.48005,1.16394,1.23191,0.73589,0.74225,0.78354,0.27363,2.05981,1.37806,1.49623,0.0017228,0.0017228,0.0017228
44,296.148,1.50878,1.20188,1.23448,0.72617,0.72678,0.75815,0.25897,2.04982,1.43642,1.52566,0.0017162,0.0017162,0.0017162
45,303.282,1.48166,1.14123,1.21968,0.76462,0.72541,0.7673,0.22639,2.24354,1.34607,1.58908,0.0017096,0.0017096,0.0017096
46,309.916,1.52244,1.16731,1.2146,0.76493,0.69809,0.76453,0.26242,2.0709,1.35665,1.53297,0.001703,0.001703,0.001703
47,317.012,1.50942,1.20697,1.23563,0.70375,0.71995,0.74124,0.19999,2.27121,1.88317,1.65198,0.0016964,0.0016964,0.0016964
48,324.329,1.46036,1.17066,1.2316,0.74642,0.76403,0.79476,0.27036,2.01389,1.66069,1.49915,0.0016898,0.0016898,0.0016898
49,330.701,1.46607,1.13751,1.22191,0.71761,0.76639,0.774,0.2523,2.11726,1.3743,1.53375,0.0016832,0.0016832,0.0016832
50,337.378,1.46595,1.12264,1.22342,0.74485,0.77732,0.77374,0.26214,2.09914,1.36845,1.50384,0.0016766,0.0016766,0.0016766
51,343.667,1.48382,1.1347,1.22321,0.73219,0.75445,0.79292,0.26776,2.07626,1.35399,1.5294,0.00167,0.00167,0.00167
52,349.046,1.47658,1.1193,1.23284,0.73287,0.71175,0.73463,0.22949,2.10187,1.83952,1.54117,0.0016634,0.0016634,0.0016634
53,355.869,1.49149,1.13745,1.21654,0.76131,0.72951,0.76337,0.23709,2.10203,1.47827,1.53364,0.0016568,0.0016568,0.0016568
54,363.109,1.46419,1.13337,1.21768,0.74592,0.78207,0.80989,0.30263,1.9937,1.29192,1.47228,0.0016502,0.0016502,0.0016502
55,370.286,1.47993,1.15106,1.22159,0.74279,0.7541,0.7862,0.27077,2.00884,1.62243,1.47062,0.0016436,0.0016436,0.0016436
56,377.108,1.46356,1.13695,1.22122,0.69498,0.73087,0.72213,0.21288,2.10767,1.71024,1.55726,0.001637,0.001637,0.001637
57,383.8,1.4939,1.1585,1.23184,0.75899,0.77008,0.8093,0.3082,1.86486,1.40696,1.39922,0.0016304,0.0016304,0.0016304
58,390.441,1.44466,1.12945,1.20934,0.75343,0.79312,0.82138,0.29225,2.00267,1.36802,1.48493,0.0016238,0.0016238,0.0016238
59,396.558,1.477,1.11303,1.2134,0.75035,0.76639,0.79325,0.25516,2.12716,1.37749,1.53521,0.0016172,0.0016172,0.0016172
60,403.663,1.45377,1.12565,1.20547,0.70175,0.69429,0.7435,0.21672,2.31167,1.34951,1.63197,0.0016106,0.0016106,0.0016106
61,409.953,1.42973,1.12243,1.19008,0.69907,0.73361,0.76659,0.23939,2.03308,1.86399,1.4986,0.001604,0.001604,0.001604
62,416.625,1.44732,1.13843,1.21225,0.73661,0.76913,0.79237,0.24763,2.11405,1.5057,1.53076,0.0015974,0.0015974,0.0015974
