grade,xlabel,ylabel,zlabel,,,,,
11_7,0.34422,0.17158,0.61,,,,0.36301,0.6
11_8,0.33906,0.17264,0.57,,,,0.36155,0.61
11_9,0.34264,0.17264,0.6,,,,0.35944,0.58
12_0,0.36142,0.17171,0.59,,,,0.36142,0.61
12_1,0.36195,0.17145,0.59,,,,0.34621,0.58
12_2,0.36221,0.17158,0.59,,,,0.34647,0.57
12_3,0.36129,0.17171,0.59,,,,0.34806,0.59
12_4,0.36182,0.17132,0.58,,,,0.34568,0.58
12_5,0.36102,0.17145,0.58,,,,0.34608,0.58
12_6,0.36301,0.17119,0.6,,,,0.34515,0.57
12_7,0.36155,0.17092,0.61,,,,0.34925,0.59
12_8,0.35944,0.17119,0.58,,,,0.3474,0.61
12_9,0.36142,0.17092,0.61,,,,0.34488,0.55
13_0,0.34621,0.19368,0.58,,,,0.35004,0.6
13_1,0.34647,0.19129,0.57,,,,0.36407,0.58
13_2,0.34806,0.1909,0.59,,,,0.36446,0.57
13_3,0.34568,0.1909,0.58,,,,0.36565,0.58
13_4,0.34608,0.19116,0.58,,,,0.36314,0.58
13_5,0.34515,0.19116,0.57,,,,0.36354,0.57
13_6,0.34925,0.19024,0.59,,,,0.36314,0.56
13_7,0.3474,0.18891,0.61,,,,0.36552,0.59
13_8,0.34488,0.18997,0.55,,,,0.36367,0.6
13_9,0.35004,0.1901,0.6,,,,0.36314,0.55
14_0,0.36407,0.18825,0.58,,,,0.3675,0.59
14_1,0.36446,0.18785,0.57,,,,0.35679,0.57
14_2,0.36565,0.18785,0.58,,,,0.35719,0.56
14_3,0.36314,0.18838,0.58,,,,0.35957,0.58
14_4,0.36354,0.18838,0.57,,,,0.35533,0.57
14_5,0.36314,0.18825,0.56,,,,0.356,0.56
14_6,0.36552,0.18759,0.59,,,,0.35467,0.55
14_7,0.36367,0.18759,0.6,,,,0.35917,0.58
14_8,0.36314,0.18719,0.55,,,,0.35666,0.61
14_9,0.3675,0.1868,0.59,,,,0.35388,0.53
15_0,0.35679,0.20399,0.57,,,,0.36142,0.59
15_1,0.35719,0.20399,0.56,,,,,
15_2,0.35957,0.2096,0.58,,,,,
15_3,0.35533,0.20373,0.57,,,,,
15_4,0.356,0.20386,0.56,,,,,
15_5,0.35467,0.20333,0.55,,,,,
15_6,0.35917,0.20267,0.58,,,,,
15_7,0.35666,0.20214,0.61,,,,,
15_8,0.35388,0.20161,0.53,,,,,
15_9,0.36142,0.20214,0.59,,,,,
